experience,job_description,job_desig,job_type,key_skills,location,company_name_encoded,final
2-3 yrs,"Experience working with popular social media advertising platforms found in Facebook, Twitter, and ...",Urgently Looking for SMO Expert,Analytics,"Website Analysis, Google Analytics, SMO, Blogs, Social Media Marketing...","Delhi NCR, Faridabad",268,5.959999999999998
7-12 yrs,Experience with microservice based architecture;Minimum 3 years of relevant professional experience;You ...,Frontend-senior Developer (bangalore),,"Javascript, Html5, Web Services, Java, Web Technologies, Agile...",Bengaluru,4120,18.93999999999999
4-9 yrs,,Senior SEO Analyst,Analytics,"SEO, Search Engine Marketing, Social Media Optimization, Google Analytics...",Chennai,3341,17.469999999999995
1-3 yrs,,Walk-in Drive for Graphics Designer (Exp 1-3yrs),Analytics,"Photoshop, Indesign, Graphic Designing, Graphics, Design",Pune,3603,8.925
10-12 yrs,- Experience in defining and executing professional software engineering best practices for the full ...,VP - Engineering - Product Startup - Iit/nit,,"Project Management, Stakeholder Management, Technical Design, VP...",Bengaluru,4049,18.069999999999993
5-10 yrs,- You should have anywhere between 4-8 years of experience;- Experience in managing a team of 3-5 ...,Tech Lead - Full Stack Developer - Ruby on Rails/mvc,,"Javascript, JQuery, CSS, HTML, Phonegap, Angularjs, Bootstrap, PHP...",Delhi,1993,14.475
5-10 yrs,,Immediate: M3 ERP Openings with CMMI Level 5 Company - Chennai/hyderab,,"Design Development, Development Testing, Requirement Analysis, m3, erp","Chennai, Hyderabad",449,15.620000000000001
1-4 yrs,"1+ years industry experience, working on high-performance, high-availability, distributed ...",Technology Analyst - Java/c++,,"Data Structures, Algorithms, C++, Core Java, Design Patterns, Linux...",Bengaluru,2319,12.795
2-5 yrs,Minimum of 2 years experience preferred;Bachelors degree (BA/BS) from four-year college or university ...,Business Analyst in an MNC,,"tableau, business analyst, data visualization, data interpretation...",Delhi,4817,7.275000000000004
0-5 yrs,,Store / Logistics/ Suply Chain walk in Interview,,"Communication Skills, Analytical, Problem Solving, itil solving...","Delhi NCR, Jaipur, Lucknow",64,6.235000000000002
1-3 yrs,He / she should be good in analytical skills;Should have excellent knowledge in Payroll processig;Shift:D ...,Walk in for  Payroll Executive,,"Taxation, Income Tax, Payroll Processing, Analytical Skills",Bengaluru,459,7.930000000000004
8-10 yrs,Strong experience migrating applications from traditional data center infrastructures to hybrid or fully ...,Arity   -   Cloud Engineering   -   Security   -   IJP,Analytics,"Networking, Automation, DNS, SNMP, LDAP, HTTP, DHCP, Analytics, SSL, SMTP",Bengaluru,313,13.14
2-5 yrs,"working experience in IPPT, FP, RM & PM sampling and other routine chemical analysis with handling ...",Walk-in Drive @ Baxter Pharmaceuticals India Private Limited,,"Sterility, Environmental Monitoring, Microbiology, Sterile, MLT, Bet...",Ahmedabad,622,4.585000000000001
3-6 yrs,"With experience in the role, the candidate can potentially grow within credit policy senior roles or ...",Credit Portfolio Analyst THD,Analytics,"Underwriting, Risk management, Analytics, SAS, SQL, Risk analytics...",Mumbai,910,6.825000000000001
7-12 yrs,Required to deliver presentation skills and facilitate small workshops;Experience : 7 + years;Has the ...,Test Lead- SAP Testing,,"HP Quality Center, Test Planning, Test Lead, Test Management, ISEB...",Pune,3724,22.949999999999996
5-10 yrs,One should have if IIMs then 2+ years of experience into Modeling with SAS experience;- Credit risk ...,Senior Manager - Predictive Modeling - SAS - Banking Domain - Iim/iit,,"SAS, Logistic Regression, Predictive Modeling, Model Validation, Lgd...","Delhi NCR, Gurgaon",1713,19.53499999999999
10-20 yrs,- Ensures sound corporate governance by managing the processes as required by the Board of Directors and ...,Vice President- Operations & Support Services- Infra/telecom/oil & Gas,,"HR, Strategic Business Planning, Strategic Management...",Hyderabad,1002,27.700000000000003
16-22 yrs,- Good People Management experience with thought leadership required;- Good and effective written and ...,Head - Presales & Solutioning - IT,,"Business Development, Sales, Solutioning, Presales, Business Management...",Bengaluru,4061,30.079999999999995
2-5 yrs,,application support specialist yardi  ,,"real estate, development, rf, part time, technical support...","Chennai, chennai",3469,6.420000000000007
1-5 yrs,,Web Developer - Node.js/react.js,,"React.Js, Node.Js, Web Development, Web Technologies, Requirement Analysis,...","Chennai, Coimbatore, Erode",3743,8.605
6-9 yrs,,Senior Software Engineer,,"Javascript, Log4j, Core Java, Spring Mvc, Spring Security, JPA, JDBC...",Bengaluru,1682,16.19
1-2 yrs,,Search Engine Marketing Executive,,Search Engine Marketing,Bengaluru(Marathahalli),782,3.4650000000000016
2-7 yrs,,Research & Sr. Research Associate in ADL - API ( Anda) - Mumbai,,"api, intermediates, hplc, development, validation, troubleshooting...",Mumbai,3910,9.134999999999998
2-5 yrs,,SAP Concur Analytics,Analytics,"SAP, Analytics, Business process, Outsourcing, Operations, Training...",Bengaluru,190,7.905000000000001
3-8 yrs,,SAP FI Bank Accounting,,"FICO, Business process, Outsourcing, Product costing, Operations...",Hyderabad,191,13.125
4-8 yrs,,Business Analyst - Banking/retail Analytics (canada),Analytics,"Retail Analytics, Business Analysis, Excel, SAS, Data Analytics, VBA...",Canada,2447,13.8
5-10 yrs,Should be well versed in Financial Accounting;Should be a go getter and fast learner;Candidate should ...,Manager/ Sr. Manager- Financial Reporting and Strategy/ FP&A,,"finance, accounts, MIS Reporting, Financial Analysis, Financial Reporting...",Mumbai,2218,16.595000000000002
4-9 yrs,"5+ years of hands-on experience in developing statistical models, natural language processing, and deep ...",Data Scientist,,"Machine Learning, Data science, NLP, Natural Language processing...",Pune,3945,15.31
3-8 yrs, Proven experience in ...,Search Engine Optimization Analyst,,"google adwords, pay per click, search engine optimization, seo...",Mumbai,3535,13.17
2-5 yrs,,Walkin Drive at Mphasis for MIS,,"mis, mis reporting, mis executive, mis analyst, data analyst, vba...",Pune,2840,7.555000000000003
10-15 yrs,Selling SAAS security solution in SOAR space for atleast 1 year;10+ years of Technical Consulting/Sales/A ...,Solution Architect | IT MNC | Bangalore(mostly) / Mumbai / Delhi,,"Solution Design, Security Intelligence","Bengaluru, Mumbai, Delhi",85,22.11499999999999
2-5 yrs,"Very good debug skill, problem solving and logical reasoning skills;Should be good in scripting to ...",Memory Design & Verification Engineer - EDA Tools,,"Memory Design & Verification Engineer, EDA, SRAM, CAM, RF, Signal Integrity...",Bengaluru,3608,9.739999999999998
5-10 yrs,"Knowledge of major computing platforms, database management systems and internet technologies, security ...",Database Security Auditor @ Mumbai,,"Finance, Auditing, Cisa, Risk Assessment, Management Systems...",Mumbai,783,17.844999999999995
4-8 yrs,"- Should have worked in rich real-world experience in building, implementing and maintaining models such ...",Forecasting & Text Mining Analytics,Analytics,"r, marketing analytics, predictive modeling, text mining, machine learning,...",Gurgaon,1300,13.205
0-5 yrs,,SPOT Offer - BPO- UK Web-chat Process @ Kalyani Nagar,,"International voice process, Calling, Inbound, Outbound, Chat, Web - chat...",Pune,3955,8.135000000000005
10-14 yrs,5+ years experience deploying data engineering solutions in a production setting;Ability to analyze ...,Big Data Engineer - Manager,,"Neo4J, NoSQL, Elastic Search, Java, Rabbitmq, Cassandra, MongoDB, MySQL...",Bengaluru,1305,19.50999999999999
15-22 yrs,"- CFA/ MBA (Finance)/ PGDBM-Finance, Chartered Accountant/CWA /CPA with 15+ years of post qualification ...",VP - Finance - Property & Casualty Insurance & Reinsurance Operations,,"Reinsurance Operations, Insurance, Operations, IFRS, accounting...",Delhi NCR,5019,29.099999999999994
4-7 yrs,- Experience of managing at least 50-employee business units in a Business Partner role;- Graduate/PostGr ...,HR Business Partner - Startup,,"HR, Talent Acquisition, Performance Management, Training...",Gurgaon,1699,14.18
23-30 yrs,- Lead and support key global change initiatives across all the TRER ensure regulatory requirement ...,Vice President - Transaction Regulation - Investment Bank,,"production management, data validation, data analysis, process improvement,...",Gurgaon,3872,31.299999999999986
2-7 yrs,,Software Engineer,,Software Engineer,Chennai,4518,8.520000000000003
